rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
60,0.41825724,0.07410533,0.37455687,0.04457665,0.62581664,0.056348126,0.5970328,0.05975994,0.26109692,0.028074648,0.37765884,0.067032136
61,0.4167244,0.073899135,0.37305656,0.044139754,0.622756,0.05659319,0.5946273,0.059884384,0.2598306,0.027677631,0.37652573,0.06677202
62,0.41492236,0.07332741,0.37145975,0.04386804,0.6206563,0.056626145,0.5930609,0.05986743,0.25922757,0.027605116,0.3754135,0.06656004
63,0.41296375,0.0730645,0.37025198,0.04361022,0.6187048,0.056892306,0.5911087,0.05992592,0.2585368,0.027245257,0.37440726,0.06649327
64,0.4112761,0.0725,0.3686441,0.043406542,0.6167497,0.057017058,0.5890023,0.05961426,0.25755268,0.02725614,0.37317285,0.066429414
65,0.40921852,0.0714857,0.36736858,0.04338005,0.61422163,0.057275634,0.5866453,0.060168955,0.2568982,0.027312176,0.37235162,0.06637784
66,0.4080149,0.071586534,0.36620268,0.043196198,0.61151075,0.057691816,0.5847585,0.060476653,0.25604528,0.027043039,0.37151352,0.06615699
67,0.40654004,0.07110202,0.36433443,0.042863537,0.6094546,0.057588752,0.5827157,0.06086476,0.2555534,0.02704992,0.3702922,0.066064194
68,0.40497312,0.07064522,0.36306807,0.042632293,0.6079152,0.057665117,0.58102643,0.06101075,0.25479326,0.026908575,0.3692932,0.06576289
69,0.4032657,0.07030327,0.3616313,0.042581696,0.60555583,0.05755639,0.5786262,0.061560005,0.25420067,0.026594423,0.36835334,0.06561669
70,0.4016787,0.06968018,0.36029008,0.042565867,0.6040425,0.05772922,0.5770222,0.061572753,0.25353584,0.02663736,0.36747488,0.0654602
71,0.39980587,0.06896497,0.35923728,0.042466346,0.6013842,0.05805265,0.5749689,0.06198736,0.2527265,0.026766304,0.36670956,0.06531659
72,0.39859486,0.0688806,0.35790226,0.04244381,0.5990146,0.05768099,0.57351846,0.06185014,0.2519233,0.026460458,0.3658055,0.065015234
73,0.3971338,0.068599276,0.35623133,0.042295642,0.59681445,0.058089778,0.57183516,0.0620301,0.25129685,0.026282988,0.364915,0.0650229
74,0.3955935,0.06822731,0.35507157,0.042220198,0.5943847,0.058552817,0.56984514,0.06288063,0.25060904,0.026417313,0.3640368,0.06486243
75,0.3937753,0.067635775,0.35347173,0.042039648,0.59263784,0.058495466,0.5677572,0.06336684,0.25011927,0.026403675,0.36312845,0.0647297
76,0.39259386,0.06760827,0.3521743,0.041530162,0.59111756,0.05890059,0.5661262,0.06375502,0.24952774,0.02641885,0.36213318,0.064528316
77,0.39099762,0.06698373,0.35096863,0.041443687,0.5892405,0.058855508,0.5642064,0.06365315,0.2488987,0.026117533,0.36118042,0.064346485
78,0.3891213,0.06643116,0.34971872,0.041130457,0.5869289,0.059220042,0.5629,0.06394457,0.24821492,0.02590845,0.36018467,0.06429512
79,0.38772854,0.06634446,0.34853032,0.04106508,0.5853161,0.05892321,0.56126267,0.06434365,0.24770367,0.025754986,0.35948482,0.06407458
80,0.3863536,0.06627538,0.34715334,0.04084528,0.58318776,0.05841498,0.5593454,0.0641186,0.2469392,0.025774531,0.35853812,0.06390407
81,0.3848208,0.065804124,0.34602436,0.040659968,0.5808862,0.05920566,0.5573611,0.0645203,0.24652624,0.025724368,0.35776564,0.06375564
82,0.38362172,0.06544051,0.34489468,0.040353402,0.57894087,0.05985863,0.5560306,0.06471084,0.2459691,0.025690105,0.35700616,0.06346868
83,0.38265657,0.0652567,0.34362713,0.040135372,0.57732123,0.05983397,0.5544812,0.064548925,0.24538802,0.025535004,0.35608768,0.063513935
84,0.38141212,0.06507233,0.34254324,0.04005753,0.575604,0.059419118,0.55271316,0.06477424,0.24486192,0.025497539,0.35531285,0.06332505
85,0.3801622,0.06473737,0.34108508,0.039841246,0.57348436,0.059730876,0.5511848,0.06497183,0.24429758,0.025472682,0.3545694,0.0630188
